"統計期","客運人次/總計[人次]","客運人次/中運量[人次]","客運人次/高運量[人次]","平均每日客運人次[人次]","客運收入/總計[千元]","客運收入/中運量[千元]","客運收入/高運量[千元]","悠遊卡累計發卡量[張]"
"89年 4月",20516356,2389674,18126682,683879,470705,56640,414064,0
"89年 5月",21426187,2547729,18878458,691167,485454,59709,425745,0
"89年 6月",20347558,2347839,17999719,678252,455360,54810,400550,0
"89年 7月",22601605,2488968,20112637,729084,512237,59108,453129,0
"89年 8月",22459295,2448004,20011291,724493,506682,58163,448520,0
"89年 9月",23673624,2602514,21071110,789121,544530,62958,481573,0
"89年 10月",24864786,2821380,22043406,802090,568927,68646,500281,0
"89年 11月",24337959,2799621,21538338,811265,560097,67467,492629,0
"89年 12月",27557314,2980157,24577157,888946,632554,73031,559523,0
"90年 1月",24367635,2505013,21862622,786053,562504,59526,502978,0
"90年 2月",26674023,2709286,23964737,952644,610544,61718,548827,0
"90年 3月",27686991,2918726,24768265,893129,629474,62744,566730,0
"90年 4月",26165096,2705268,23459828,872170,585733,55610,530123,0
"90年 5月",27069704,2855690,24214014,873216,598400,56971,541429,0
"90年 6月",25896546,2600313,23296233,863218,580283,54763,525520,0
"90年 7月",27572474,2695168,24877306,889435,629507,67150,562357,0
"90年 8月",28878337,2801217,26077120,931559,657424,60195,597229,0
"90年 9月",16276009,2287229,13988780,542534,352196,44359,307837,0
"90年 10月",15110775,2534584,12576191,487444,339651,47419,292232,0
"90年 11月",18647082,2611395,16035687,621569,418567,53263,365303,0
"90年 12月",25298042,2865051,22432991,816066,556820,58499,498320,0
"91年 1月",25603402,2777938,22825464,825916,542435,53571,488864,0
"91年 2月",23473254,2230191,21243063,838331,576358,51944,524414,0
"91年 3月",27118827,2836224,24282603,874801,607805,58302,549503,0
"91年 4月",25768631,2750378,23018253,858954,581725,57240,524485,0
"91年 5月",27019953,2813160,24206793,871611,598038,57488,540550,0
"91年 6月",25533309,2552118,22981191,851110,578014,58688,519327,0
"91年 7月",27890392,2723379,25167013,899690,624439,57073,567366,0
"91年 8月",28352991,2683925,25669066,914613,640286,56429,583857,0
"91年 9月",25747115,2544518,23202597,858237,567765,50468,517297,0
"91年 10月",28684322,2906752,25777570,925301,625673,59045,566628,0
"91年 11月",28724883,2848126,25876757,957496,617025,56460,560565,0
"91年 12月",30516478,2950811,27565667,984403,646588,56586,590002,1004254
"92年 1月",28014216,2713655,25300561,903684,625032,56161,568872,0
"92年 2月",26241269,2430288,23810981,937188,598651,51839,546812,0
"92年 3月",29040656,2875691,26164965,936795,636769,56792,579978,0
