"統計期","捷運站別","進站人次","出站人次","進站人次增減率[%]","出站人次增減率[%]"
"86年","葫洲",0,0,0,0
"86年","東湖",0,0,0,0
"86年","南港軟體園區",0,0,0,0
"86年","南港展覽館BR",0,0,0,0
"86年","小碧潭",0,0,0,0
"86年","新店",0,0,0,0
"86年","新店區公所",0,0,0,0
"86年","七張",0,0,0,0
"86年","大坪林",0,0,0,0
"86年","景美",0,0,0,0
"86年","萬隆",0,0,0,0
"86年","公館",0,0,0,0
"86年","台電大樓",0,0,0,0
"86年","古亭",0,0,0,0
"86年","中正紀念堂",0,0,0,0
"86年","小南門",0,0,0,0
"86年","頂溪",0,0,0,0
"86年","永安市場",0,0,0,0
"86年","景安",0,0,0,0
"86年","南勢角",0,0,0,0
"86年","台大醫院",0,0,0,0
"86年","台北車站BL",0,0,0,0
"86年","台北車站R",156779,175174,0,0
"86年","中山R",0,0,0,0
"86年","雙連",402234,482331,0,0
"86年","民權西路R",775734,798966,0,0
"86年","圓山",495940,459222,0,0
"86年","劍潭",829726,765775,0,0
"86年","士林",750848,847481,0,0
"86年","芝山",690309,643370,0,0
"86年","明德",606322,545947,0,0
"86年","石牌",959665,920131,0,0
"86年","唭哩岸",457558,398348,0,0
"86年","奇岩",318332,258122,0,0
"86年","北投",745620,694298,0,0
"86年","新北投",550403,506227,0,0
"86年","復興崗",231249,226207,0,0
"86年","忠義",166973,158704,0,0
"86年","關渡",391562,382868,0,0
"86年","竹圍",572822,546056,0,0
"86年","紅樹林",222108,195991,0,0
"86年","淡水",0,0,0,0
"86年","頂埔",0,0,0,0
"86年","永寧",0,0,0,0
"86年","土城",0,0,0,0
"86年","海山",0,0,0,0
"86年","亞東醫院",0,0,0,0
"86年","府中",0,0,0,0
"86年","板橋",0,0,0,0
"86年","新埔",0,0,0,0
"86年","江子翠",0,0,0,0
"86年","龍山寺",0,0,0,0
"86年","西門",0,0,0,0
"86年","善導寺",0,0,0,0
"86年","忠孝新生BL",0,0,0,0
"86年","忠孝復興BL",0,0,0,0
"86年","忠孝敦化",0,0,0,0
"86年","國父紀念館",0,0,0,0
"86年","市政府",0,0,0,0
"86年","永春",0,0,0,0
"86年","後山埤",0,0,0,0
"86年","昆陽",0,0,0,0
"86年","南港",0,0,0,0
"86年","南港展覽館BL",0,0,0,0
"86年","象山",0,0,0,0
"86年","台北101/世貿",0,0,0,0
"86年","信義安和",0,0,0,0
"86年","大安R",0,0,0,0
"86年","大安森林公園",0,0,0,0
"86年","北門",0,0,0,0
"86年","中山G",0,0,0,0
"86年","松江南京G",0,0,0,0
"86年","南京復興G",0,0,0,0
"86年","台北小巨蛋",0,0,0,0
"86年","南京三民",0,0,0,0
"86年","松山",0,0,0,0
"86年","輔大",0,0,0,0
