西元年,站名,早晨出發,早晨抵達,傍晚出發,傍晚抵達,早晨出發佔比,傍晚出發佔比,潮汐指數,工作日均運量,工作日數
2019,蘆洲,149346,11821,24773,92075,0.9266537194338792,0.21201047514719978,0.7146432442866795,16037,21
2019,三重國小,100150,11173,22799,79199,0.899634397204531,0.22352399066648365,0.6761104065380473,12727,21
2019,徐匯中學,105895,13253,26301,84896,0.8887685903246383,0.236526165274243,0.6522424250503953,13154,21
2019,南勢角,199730,23724,44577,131455,0.8938304975520689,0.2532323668423923,0.6405981307096766,24272,21
2019,三和國中,116606,15409,27609,78085,0.8832784153315911,0.26121634151418244,0.6220620738174087,13895,21
2019,丹鳳,92850,12878,22514,56896,0.8781968825665859,0.2835159299836293,0.5946809525829566,10775,21
2019,永安市場,212190,36220,63441,173972,0.8541926653516364,0.2672178861309195,0.586974779220717,29221,21
2019,三民高中,109231,19802,28967,80564,0.8465353824215511,0.2644639417151309,0.5820714407064203,13191,21
2019,台北橋,64607,10628,22621,58823,0.8587359606566093,0.2777491282353519,0.5809868324212574,10063,21
2019,辛亥,28826,4532,7985,18204,0.8641405360033575,0.30489900339837334,0.5592415326049842,3590,21
2019,頂溪,259302,52167,90905,233128,0.8325130269786079,0.28054241388994333,0.5519706130886646,38920,21
2019,府中,200394,35826,79477,171726,0.8483362966725934,0.3163855527203099,0.5319507439522835,33824,21
2019,內湖,63086,13372,24817,58373,0.8251065944701667,0.29831710542132467,0.526789489048842,9893,21
2019,新莊,92431,23741,28026,75160,0.7956392245980098,0.27160661330025393,0.5240326112977559,11644,21
2019,景安,206538,46625,61357,148357,0.8158301173552217,0.29257464928426336,0.5232554680709584,27884,21
2019,海山,181819,43711,53128,132004,0.8061854298762914,0.28697361882332606,0.5192118110529653,23819,21
2019,江子翠,188359,44852,67455,158984,0.8076763102941114,0.2978947972743211,0.5097815130197902,27508,21
2019,萬芳社區,24938,3839,6211,10973,0.8665948500538625,0.3614408752327747,0.5051539748210878,2888,21
2019,麟光,32636,5975,11073,20819,0.8452513532413043,0.34720306032860904,0.49804829291269526,4721,21
2019,大湖公園,26461,5233,9293,17475,0.8348898845207294,0.3471682606096832,0.48772162391104623,3698,21
2019,唭哩岸,54291,11413,19605,36327,0.8262967247047364,0.3505149109633126,0.47578181374142375,7868,21
2019,新埔,299856,80353,124421,246133,0.7886609733067865,0.3357702251223843,0.4528907481844022,46388,21
2019,迴龍,99196,25154,31554,57722,0.7977161238439887,0.3534432546261033,0.4442728692178854,12115,21
2019,土城,56606,15167,20450,38476,0.7886809803129311,0.3470454468316193,0.4416355334813118,7977,21
2019,萬隆,73094,18003,30130,52760,0.8023754898624543,0.36349378694655565,0.4388817029158987,10963,21
2019,新店區公所,82531,24354,35206,65871,0.7721476353089769,0.34830871513796413,0.42383892017101277,12278,21
2019,菜寮,81244,24736,32472,62239,0.7665974712209851,0.34285352282205867,0.42374394839892643,11281,21
2019,竹圍,58313,19459,28601,49309,0.7497942704315178,0.3671030676421512,0.3826912027893666,10034,21
2019,三重,44700,15479,21064,36615,0.7427840276508416,0.36519357131711716,0.37759045633372446,6970,21
2019,新店,94145,23530,42581,52385,0.8000424899086467,0.44838152601983866,0.351660963888808,14155,21
2019,亞東醫院,191911,68007,79122,120052,0.7383520956609392,0.3972506451645295,0.34110145049640966,28726,21
2019,東湖,66852,27788,29854,51417,0.7063820794590026,0.36733890317579454,0.339043176283208,9111,21
2019,頭前庄,42575,16544,21816,30196,0.7201576481334258,0.4194416673075444,0.30071598082588136,6138,21
2019,永寧,85334,37215,46417,68576,0.6963255514120882,0.4036506569965128,0.29267489441557537,14293,21
2019,紅樹林,69630,26096,35532,46139,0.7273885882623321,0.4350626293298723,0.29232595893245983,11020,21
2019,復興崗,27467,11902,12407,17841,0.697680916457111,0.4101758793969849,0.28750503706012603,3977,21
2019,淡水,198861,59474,140498,142727,0.769779549809356,0.49606496601641803,0.273714583792938,39327,21
2019,北投,113717,57929,62639,95862,0.6625088845647438,0.3951962448186447,0.2673126397460991,19983,21
2019,板橋,192434,117472,144322,250524,0.6209431246894219,0.3655146563470315,0.2554284683423904,44145,21
2019,後山埤,88309,42483,59482,81204,0.6751865557526454,0.42279970999246547,0.25238684576017995,17818,21
2019,龍山寺,127807,61920,111283,140509,0.6736363300953475,0.4419640020334244,0.23167232806192312,33068,21
2019,小碧潭,16094,6591,15371,16767,0.7094555873925501,0.47828116248677577,0.23117442490577433,3363,21
2019,七張,97969,50224,65658,86230,0.661090604819391,0.43227904771937214,0.22881155710001883,18634,21
2019,葫洲,55574,32269,35576,48733,0.6326514349464385,0.4219715570105208,0.2106798779359177,9610,21
2019,萬芳醫院,84359,54078,55508,73074,0.6093674378959383,0.43169339409870744,0.17767404379723084,15599,21
2019,景美,84514,53045,72326,85827,0.6143836462899556,0.457316649067675,0.15706699722228057,18713,21
2019,芝山,115947,82372,101890,113016,0.5846489746317801,0.4741142639107331,0.11053471072104704,25965,21
2019,松山,112427,97362,101437,130531,0.5359051237195468,0.43728876396744376,0.09861635975210303,27734,21
2019,奇岩,56939,34954,37523,34489,0.6196228221953795,0.5210659334555352,0.09855688873984425,10265,21
2019,六張犁,63012,50274,52575,53978,0.5562205391663577,0.4934164218745601,0.06280411729179763,13063,21
2019,南港,84189,76083,90144,103314,0.5252882599580713,0.46596160406910025,0.059326655888971014,20234,21
2019,頂埔,64595,44430,40077,32989,0.5924787892685164,0.5485040921906221,0.043974697077894254,9808,21
2019,台北車站,393155,442423,559237,744563,0.47051861106922394,0.428928516643657,0.04159009442556694,152768,21
2019,明德,67458,54533,57517,53334,0.5529752194834046,0.5188676692136291,0.03410755026977541,14363,21
2019,圓山,117737,123332,111825,127779,0.4883954386503449,0.4667075674863525,0.0216878711639924,29556,21
2019,西門,156644,168971,287683,334956,0.48107120372218726,0.4620381954872727,0.01903300823491455,74301,21
2019,大坪林,102763,94201,101836,96961,0.5217349363335432,0.5122612514273355,0.009473684906207702,23975,21
2019,木柵,25457,25528,21312,19531,0.49930371677944496,0.521803001738364,-0.022499284958919064,4936,21
2019,台電大樓,61135,66474,86557,85738,0.4790806291092321,0.5023767375721873,-0.023296108462955156,19478,21
2019,石牌,126068,131456,141921,128629,0.4895388390984918,0.5245647754574015,-0.03502593635890977,34263,21
2019,輔大,46630,52617,68522,62622,0.4698378792306065,0.5224943573476484,-0.05265647811704188,14598,21
2019,南港展覽館,167102,146457,167483,116848,0.5329204392155862,0.5890423485304099,-0.05612190931482375,36160,21
2019,永春,83968,97129,107934,90700,0.46366311976454605,0.5433812942396569,-0.07971817447511081,22260,21
2019,中山國中,61160,79458,72968,68414,0.43493720576313133,0.5161053033625214,-0.08116809759939003,16404,21
2019,劍南路,33834,46668,53066,50188,0.42028769471565924,0.5139365060917737,-0.09364881137611442,11902,21
2019,大橋頭站,55801,61065,67606,48949,0.47747847962623857,0.5800351765261036,-0.10255669689986502,15148,21
2019,文德,31869,32754,37519,25183,0.4931525927301425,0.5983700679404166,-0.10521747521027408,6497,21
2019,大直,36680,48409,57647,48921,0.4310780476912409,0.5409409954207642,-0.10986294772952332,11500,21
2019,科技大樓,54619,70591,77728,64469,0.4362191518249341,0.5466219399846691,-0.11040278815973503,16840,21
2019,士林,88098,112178,155732,127020,0.4398829615131119,0.5507724083295609,-0.11088944681644897,33094,21
2019,劍潭,85538,129136,153032,145765,0.3984553322712578,0.5121604299909303,-0.11370509771967247,36002,21
2019,古亭,99544,140957,170558,150207,0.4139026448954474,0.5317226006578024,-0.11781995576235499,36547,21
2019,動物園,26090,18369,40612,16349,0.5868328122539869,0.7129790558452275,-0.1261462435912406,7208,21
2019,忠孝復興,54788,126231,219401,226730,0.30266436119965306,0.4917860449060926,-0.18912168370643956,53543,21
2019,大安森林公園,23623,35103,43211,29832,0.40225794367060586,0.5915830401270484,-0.18932509645644258,8704,21
2019,中山國小,53980,88365,90640,68363,0.379219501914363,0.5700521373810558,-0.19083263546669277,19160,21
2019,中山,50685,119374,190000,194795,0.29804362015535785,0.4937694096856768,-0.19572578953031894,42854,21
2019,新北投,15596,18769,38422,19959,0.4538338425723847,0.6581250749387644,-0.2042912323663797,7442,21
2019,公館,61104,107427,154277,112875,0.3625683108745572,0.5774877223453315,-0.2149194114707743,31372,21
2019,北門,39546,66999,72178,50198,0.37116711248768125,0.5898051905602406,-0.21863807807255936,14452,21
2019,東門,53550,112488,134472,110990,0.32251653236006217,0.5478322510205246,-0.2253157186604624,28026,21
2019,松山機場,15264,26406,28194,19134,0.36630669546436284,0.5957150101419878,-0.22940831467762496,6234,21
2019,關渡,46248,78490,67231,41146,0.3707611152976639,0.6203437998837392,-0.2495826845860753,14846,21
2019,信義安和,44363,113585,99950,75264,0.2808709195431408,0.5704452840526442,-0.28957436450950336,19861,21
2019,國父紀念館,37837,111238,106284,88835,0.2538118396780144,0.5447137387952993,-0.29090189911728487,22846,21
2019,象山,47156,85904,84466,40934,0.35439651285134527,0.673572567783094,-0.3191760549317488,15825,21
2019,昆陽,49083,104498,90533,49638,0.319590313906017,0.645875395053185,-0.32628508114716803,15779,21
2019,雙連,41515,125372,108210,79306,0.2487611377758603,0.5770707566287677,-0.32830961885290744,24171,21
2019,南京三民,67074,166460,149251,89227,0.28721299682273244,0.6258480866159561,-0.3386350897932237,26677,21
2019,忠義,11999,25355,17133,8211,0.3212239653049205,0.6760179924242424,-0.35479402711932195,3720,21
2019,忠孝新生,54534,160048,194909,116362,0.2541406082523231,0.6261714069090921,-0.372030798656769,35970,21
2019,忠孝敦化,35986,163891,182727,145655,0.18004072504590324,0.5564464556522587,-0.37640573060635546,36876,21
2019,民權西路,55926,153517,150910,82438,0.2670225311898703,0.6467164921062105,-0.3796939609163402,26771,21
2019,市政府,85115,337875,337860,223692,0.2012222511170477,0.6016539875203009,-0.40043173640325314,65344,21
2019,中正紀念堂,58571,178037,191251,96125,0.24754446172572356,0.6655079060185959,-0.41796344429287235,31755,21
2019,大安,53769,206560,186329,95516,0.2065424904639898,0.6611045077968387,-0.45456201733284896,29715,21
2019,台北101/世貿,37535,167990,182723,97944,0.18262985038316507,0.6510312933120032,-0.4684014429288381,33857,21
2019,行天宮,54232,218585,181803,89611,0.19878526631404936,0.6698364859587199,-0.47105121964467056,31782,21
2019,先嗇宮,17145,45818,38278,13095,0.27230278099836414,0.7450995659198412,-0.47279678492147703,5421,21
2019,南京復興,66334,329378,265555,145777,0.1676320152029759,0.6455977166862777,-0.47796570148330186,44419,21
2019,港墘,45486,152139,117600,47361,0.2301631878557875,0.7128957753650863,-0.4827325875092988,19050,21
2019,小南門,22848,89247,80202,30962,0.203827110932691,0.721474578100824,-0.517647467168133,12435,21
2019,台北小巨蛋,34082,199852,167243,81954,0.14569066488838733,0.6711276620505062,-0.5254369971621189,25979,21
2019,善導寺,25474,187017,166728,76607,0.11988272444480001,0.685178868637886,-0.565296144193086,25648,21
2019,南港軟體園區,9310,53828,45634,15732,0.14745478158953404,0.743636541407294,-0.5961817598177599,6447,21
2019,松江南京,40741,360230,299233,114857,0.1016058517947682,0.7226279311260837,-0.6210220793313155,43176,21
2019,西湖,29055,168658,127085,36959,0.14695543540384295,0.7747006900587647,-0.6277452546549218,19854,21
2019,台大醫院,17105,189515,152422,55300,0.08278482237924693,0.7337788005122231,-0.6509939781329762,27019,21
2025,蘆洲,154202,11388,21328,101585,0.931227731143185,0.17352110842628526,0.7577066227168998,16706,20
2025,南勢角,180194,14241,31559,133286,0.9267570139121043,0.1914465103582153,0.7353105035538889,21628,20
2025,徐匯中學,106375,13023,21732,90269,0.8909278212365366,0.19403398183944787,0.6968938393970887,12961,20
2025,三重國小,95529,11482,20901,83525,0.8927026193568885,0.20015130331526632,0.6925513160416222,12860,20
2025,辛亥,30205,3603,7085,21325,0.8934275911026975,0.24938401971136923,0.6440435713913283,3690,20
2025,三和國中,117055,18232,25477,88024,0.8652346493011154,0.2244649826873772,0.6407696666137381,14509,20
2025,三民高中,108405,19864,21934,85277,0.845137952272178,0.2045872158640438,0.6405507364081342,13012,20
2025,台北橋,68704,11351,22029,67886,0.8582099806383111,0.24499805371739977,0.6132119269209113,10648,20
